GEOID,B15002e3-y,B15002e4-y,B15002e5-y,B15002e6-y,B15002e7-y,B15002e8-y,B15002e9-y,B15002e10-y,B15002e11-y,B15002e12-y,B15002e13-y,B15002e14-y,B15002e15-y,B15002e16-y,B15002e17-y,B15002e18-y,B15002e20-y,B15002e21-y,B15002e22-y,B15002e23-y,B15002e24-y,B15002e25-y,B15002e26-y,B15002e27-y,B15002e28-y,B15002e29-y,B15002e30-y,B15002e31-y,B15002e32-y,B15002e33-y,B15002e34-y,B15002e35-y
15000US060014012002,0,0,0,0,0,0,0,14,10,10,46,51,118,61,12,18,0,8,0,0,0,0,0,0,3,13,21,25,103,106,43,50
15000US060014012003,0,0,0,29,0,0,0,0,78,9,40,7,52,80,5,0,0,0,0,0,10,8,19,0,22,5,44,9,65,15,10,6
15000US060014013001,0,0,2,0,0,6,0,59,156,0,76,61,172,32,0,5,7,0,5,5,0,0,0,0,57,0,80,37,111,73,8,24
15000US060014013002,35,0,33,19,13,26,126,48,238,59,186,32,170,59,7,10,24,14,9,32,17,0,16,17,80,12,53,14,110,83,0,0
15000US060014013003,0,0,0,0,30,4,19,0,88,30,95,49,124,49,29,30,12,0,0,4,0,0,0,0,102,20,57,37,124,65,23,19
15000US060014014001,0,0,18,17,0,0,10,0,97,0,109,18,67,39,0,0,0,17,0,9,41,0,24,0,129,41,48,20,0,0,0,0
15000US060014014002,26,0,0,0,29,38,9,19,97,19,102,101,185,43,13,3,28,11,10,0,26,16,9,21,157,0,179,55,125,50,44,0
15000US060014014003,0,0,0,0,0,8,17,13,113,88,88,23,7,16,0,0,0,0,34,0,0,72,44,0,97,19,36,45,24,15,0,0
15000US060014015001,0,0,0,0,0,0,0,37,87,50,101,59,31,29,0,6,13,0,7,0,7,47,3,23,185,4,96,27,59,23,6,0
15000US060014015002,0,0,15,0,0,0,11,0,51,7,67,30,114,56,0,0,8,0,0,10,0,0,7,0,27,12,50,62,107,7,8,0
15000US060014015003,20,0,13,0,15,0,12,12,12,0,80,32,99,23,0,2,0,0,0,8,8,0,0,3,35,5,71,0,103,2,20,0
15000US060014016001,70,23,0,0,0,0,0,0,22,59,56,57,48,43,0,0,7,33,0,0,4,0,16,5,68,8,49,49,79,38,8,8
15000US060014016002,0,0,0,0,16,0,2,5,43,16,106,40,105,52,4,0,0,0,0,0,0,0,0,31,61,31,60,25,70,43,14,4
15000US060014017001,0,0,0,0,0,0,0,37,51,31,29,23,67,55,11,10,0,0,0,11,11,0,0,0,36,34,32,23,79,28,22,11
15000US060014017002,46,0,14,0,12,0,16,27,79,73,77,53,254,96,17,0,18,5,23,0,0,0,0,0,11,34,217,64,152,45,0,0
15000US060014017003,0,0,0,18,0,0,16,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
15000US060014018001,0,0,0,0,0,0,0,6,24,0,41,6,127,18,19,0,0,0,8,0,0,0,22,0,31,5,40,64,102,48,0,7
15000US060014018002,0,0,25,0,18,5,7,14,85,17,34,7,55,26,0,0,0,18,0,0,24,0,13,30,51,34,88,34,14,35,0,0
15000US060014022001,16,8,14,6,0,0,6,19,81,56,42,24,61,10,15,6,0,9,34,4,13,0,17,11,91,20,52,22,33,5,8,0
15000US060014022002,12,0,16,0,0,0,0,0,52,26,47,22,54,51,0,2,12,0,35,2,15,10,21,0,22,9,39,22,35,15,6,0
15000US060014022003,8,0,9,0,0,0,3,11,8,5,31,22,108,6,0,0,0,0,1,0,0,0,0,0,46,7,15,26,57,29,0,0
15000US060014024001,38,0,34,19,13,0,0,15,175,27,150,10,161,23,0,0,39,0,0,38,0,0,0,0,56,53,133,107,163,101,16,0
15000US060014024002,0,0,8,16,7,0,7,16,58,0,47,25,141,21,0,0,10,0,68,0,27,0,0,15,62,45,102,31,36,19,0,7
15000US060014025001,0,0,9,0,0,0,18,12,119,14,56,10,61,8,0,0,0,9,0,0,0,0,29,61,88,66,77,41,50,15,9,0
15000US060014025002,0,6,3,0,0,10,0,0,5,11,16,0,8,0,0,0,0,4,3,0,19,17,21,0,61,29,39,24,15,0,0,0
15000US060014026001,38,16,14,10,0,5,0,19,113,9,44,39,78,31,0,19,52,0,9,5,20,0,21,15,166,40,101,13,147,19,0,5
15000US060014027001,0,0,14,0,0,6,5,18,16,0,44,32,96,5,0,0,0,0,6,31,14,15,18,0,16,0,33,9,46,12,5,0
15000US060014027002,34,0,22,0,6,15,5,6,85,47,17,20,50,11,9,0,18,0,9,17,0,3,8,20,51,17,83,34,81,28,10,0
15000US060014028001,28,13,15,13,19,8,89,13,63,82,239,23,226,34,49,27,0,0,42,17,63,29,30,17,25,36,28,47,52,31,53,13
15000US060014028002,14,0,0,12,0,12,19,89,26,56,207,56,312,87,15,5,55,0,9,52,26,48,12,27,116,44,143,84,133,111,36,13
15000US060014029001,16,12,0,6,18,2,2,6,112,21,62,55,199,60,10,5,38,16,37,14,26,7,11,0,67,26,106,29,137,60,14,16
15000US060014030001,36,13,88,12,22,6,0,25,153,8,51,0,226,62,9,29,149,7,79,31,25,0,0,57,184,26,67,34,121,31,0,0
15000US060014030002,55,5,55,11,0,50,13,0,115,10,0,24,90,0,0,0,91,40,41,39,143,49,0,8,105,9,109,4,32,7,0,0
15000US060014031001,38,20,68,17,21,34,35,17,189,68,95,31,166,95,8,24,42,18,41,4,0,0,6,0,74,28,25,18,142,95,40,16
15000US060014033001,16,0,0,0,0,0,21,0,58,41,116,46,398,71,53,103,15,0,0,0,22,38,20,0,31,0,102,73,425,206,15,29
15000US060014033002,136,59,0,66,0,19,45,53,253,20,74,15,84,0,0,0,142,0,53,34,0,0,0,16,259,0,53,22,51,16,0,0
15000US060014034001,0,0,0,0,13,0,0,11,7,13,10,15,84,120,4,92,0,0,0,0,0,0,0,2,31,5,78,13,230,53,12,49
15000US060014034002,16,54,0,0,0,0,0,0,47,0,105,53,253,68,0,0,15,0,0,0,0,0,0,0,18,11,19,114,142,156,0,0
15000US060014034003,0,0,0,0,0,0,0,10,73,0,13,13,76,79,26,0,23,26,13,0,0,0,0,35,10,0,30,21,289,31,69,0
15000US060014034004,20,0,9,0,0,0,0,0,174,34,148,34,186,66,34,12,15,0,9,0,0,0,0,0,8,60,63,15,120,76,0,14
15000US060014035011,55,0,17,0,0,0,0,47,72,25,138,59,214,36,72,59,77,0,119,14,0,19,0,49,100,34,119,0,151,98,64,53
15000US060014035012,0,0,0,0,0,0,19,10,60,34,44,160,281,39,12,50,0,3,0,0,0,0,3,3,67,0,168,90,388,113,0,60
15000US060014035013,13,0,0,0,0,0,0,42,0,0,50,50,51,16,24,0,0,0,0,15,0,0,0,0,0,0,67,15,18,31,26,0
15000US060014035021,0,0,0,0,0,0,0,6,23,47,23,17,120,86,49,23,0,0,0,0,0,0,0,0,39,0,14,6,142,99,32,11
15000US060014035022,1,0,30,0,16,0,10,0,45,10,170,15,170,40,27,9,0,0,0,0,0,0,46,11,46,5,81,29,241,110,19,20
15000US060014036001,0,0,0,0,0,3,4,0,84,16,62,15,205,34,0,0,3,0,0,0,0,0,9,0,32,29,20,108,132,49,19,16
15000US060014036002,0,0,0,0,0,3,0,0,93,77,171,43,324,78,29,57,59,0,24,0,48,0,34,24,109,28,123,53,244,138,16,14
15000US060014036003,0,0,0,0,0,0,0,4,74,47,50,30,239,80,29,78,4,0,0,0,0,0,0,0,74,27,48,0,343,264,21,17
15000US060014037011,4,0,4,0,9,0,0,1,70,0,48,26,85,106,35,32,0,0,14,3,11,0,18,0,90,27,95,23,180,167,27,29
15000US060014037012,10,0,0,0,0,0,0,0,38,62,25,97,195,100,53,7,0,0,0,0,0,0,18,0,46,11,72,11,370,175,28,9
15000US060014037021,0,0,0,0,0,0,0,0,35,0,10,18,113,50,10,0,0,0,0,0,0,0,0,0,9,8,19,48,121,115,9,0
15000US060014037022,0,0,29,0,0,0,0,0,46,11,87,24,212,112,41,53,0,0,62,8,0,0,0,0,0,32,118,26,186,220,0,17
15000US060014038001,0,0,0,0,0,0,0,0,7,0,19,0,51,35,66,9,0,0,0,0,0,0,7,0,0,9,13,0,82,84,28,0
15000US060014038002,0,0,0,13,0,0,0,0,8,14,28,23,110,41,18,0,13,0,17,0,0,0,8,0,18,0,8,0,233,132,8,0
15000US060014038003,1,0,0,2,0,3,0,8,64,33,44,10,106,57,34,15,0,3,0,0,8,0,1,0,8,1,15,0,131,67,16,27
15000US060014038004,0,0,0,0,0,0,0,0,33,0,93,0,187,63,20,31,0,0,0,0,0,0,0,0,23,19,52,8,301,142,53,25
15000US060014039001,0,0,0,0,0,0,0,0,26,17,32,31,206,110,113,0,0,0,0,0,0,0,0,0,186,34,17,0,287,234,17,39
15000US060014039002,0,0,0,0,0,0,0,0,0,32,16,31,146,37,1,14,0,0,0,0,0,0,0,0,5,0,62,0,89,143,1,0
15000US060014039003,30,0,46,40,0,0,0,33,33,33,76,36,146,43,17,55,0,0,0,0,0,0,0,30,125,77,33,43,252,147,74,1
15000US060014040001,0,0,0,0,0,0,0,0,89,0,116,60,374,134,48,25,0,0,0,0,0,0,0,0,55,20,58,73,290,243,45,8
15000US060014040002,0,0,0,0,11,0,0,0,52,8,61,52,135,42,23,44,0,0,0,0,0,0,0,0,20,19,49,23,143,130,31,33
15000US060014041011,0,0,0,0,2,0,2,0,7,32,42,14,176,56,22,30,0,0,0,0,0,0,0,0,112,30,17,26,201,135,46,86
15000US060014041012,1,0,0,0,0,0,15,20,19,30,156,5,360,157,9,14,0,0,0,0,0,0,0,0,14,7,103,15,285,168,137,56
15000US060014041021,0,0,0,0,0,0,0,0,114,15,43,35,192,102,52,36,9,0,0,0,0,0,10,0,48,18,96,27,147,169,17,35
15000US060014041022,5,7,0,15,0,0,7,8,82,9,86,6,142,90,32,16,0,0,16,4,7,0,17,9,31,9,77,76,143,135,15,16
15000US060014042001,0,0,0,0,0,0,0,0,0,8,9,6,142,55,53,34,0,0,0,0,0,0,0,0,26,0,67,9,100,63,50,18
15000US060014042002,29,0,0,0,0,0,11,0,0,0,10,79,150,99,47,31,0,0,0,0,0,0,0,0,36,8,36,0,191,202,39,5
15000US060014042003,0,0,0,0,0,0,0,0,9,15,17,25,194,38,25,38,8,0,18,0,0,0,0,0,12,13,0,31,111,102,69,9
15000US060014043001,0,0,0,0,0,0,0,0,0,7,0,15,139,164,68,33,0,0,0,0,0,0,0,7,49,0,8,0,103,155,31,45
15000US060014043002,0,0,0,8,0,0,0,0,22,0,45,28,112,46,85,43,0,0,0,0,0,0,0,0,43,8,45,0,86,52,58,27
15000US060014043003,0,0,0,0,0,0,0,36,7,0,8,35,210,59,116,20,0,0,0,0,0,0,0,0,22,0,46,28,168,134,61,17
15000US060014044001,0,15,0,0,0,0,0,15,16,20,114,46,374,238,84,32,16,0,0,14,0,0,0,0,32,40,14,20,406,122,139,91
15000US060014044002,0,0,0,0,0,0,0,0,0,10,61,47,117,200,83,0,0,0,0,0,0,0,0,0,20,11,53,40,272,192,45,0
15000US060014044003,0,0,0,0,0,0,0,0,47,0,81,14,298,126,69,17,0,0,0,0,0,0,0,0,29,0,29,49,314,135,43,14
15000US060014045011,0,0,21,0,0,0,0,0,4,12,34,23,223,148,123,87,0,0,5,6,0,0,0,12,30,15,21,5,265,191,79,29
15000US060014045021,0,0,0,0,0,0,0,0,0,10,2,0,106,52,40,40,0,0,0,0,0,0,0,0,45,0,22,28,50,39,50,0
15000US060014045022,0,0,0,0,0,0,0,0,13,0,12,13,186,78,19,28,0,0,0,0,29,0,0,0,31,36,13,72,152,100,126,12
15000US060014045023,0,0,0,0,0,0,0,0,60,99,13,13,224,128,63,13,0,0,44,0,0,0,0,0,13,63,56,0,223,220,89,12
15000US060014045024,0,0,0,0,0,0,0,0,24,0,102,0,169,157,62,62,0,0,0,0,0,0,0,0,26,0,21,72,431,201,68,12
15000US060014046001,0,0,0,0,0,0,0,0,46,0,64,0,171,89,42,48,0,0,0,0,0,9,0,12,0,0,62,0,130,135,73,17
15000US060014046002,0,0,0,0,0,0,0,0,11,0,4,18,136,67,0,19,0,0,0,0,0,0,0,0,0,0,35,63,79,41,24,15
15000US060014046003,13,0,0,0,0,0,0,9,5,6,37,22,196,91,33,41,0,0,0,0,0,0,9,0,19,19,30,28,200,128,52,27
15000US060014046004,0,0,10,0,0,0,0,0,47,23,66,17,193,80,62,44,0,0,0,0,0,0,0,0,69,7,50,38,236,104,45,31
15000US060014047001,0,8,16,0,0,0,0,0,23,8,18,5,159,52,27,16,7,0,0,0,6,0,0,0,13,0,65,16,127,124,43,15
15000US060014047002,0,0,0,0,0,0,0,8,26,0,46,6,140,103,41,46,0,0,0,0,0,0,0,0,22,0,27,31,208,100,39,5
15000US060014048001,29,7,0,0,0,0,0,3,94,0,40,11,114,104,27,0,38,0,2,0,5,0,0,0,83,27,99,9,186,57,25,0
15000US060014048002,0,0,19,0,0,0,0,0,5,15,81,13,163,43,32,27,0,0,9,0,12,0,21,0,21,0,129,45,195,48,35,0
15000US060014049001,0,0,0,0,0,0,0,0,8,7,31,0,74,60,8,0,0,0,0,0,0,0,0,0,14,8,14,20,98,88,44,7
15000US060014049002,0,0,0,0,0,0,0,0,40,0,36,70,149,141,18,38,0,0,0,0,0,0,0,0,115,75,117,44,136,38,39,16
15000US060014049003,0,0,0,0,0,0,0,0,19,5,50,24,102,13,18,8,0,9,0,12,0,0,0,28,37,17,59,0,85,78,0,9
15000US060014049004,0,0,0,0,0,0,0,0,12,27,46,17,165,87,19,50,0,0,0,9,0,5,0,12,0,0,61,6,244,165,35,12
15000US060014050001,0,0,0,0,0,0,0,10,0,0,27,6,116,27,16,31,0,0,0,0,0,0,0,10,22,8,77,10,115,82,19,0
15000US060014050002,0,9,0,0,0,0,0,0,6,35,42,16,134,77,24,26,23,0,26,0,0,0,0,0,12,0,42,16,120,149,53,35
15000US060014050003,0,0,9,0,0,0,0,0,22,7,108,52,202,102,38,27,0,0,0,17,0,0,7,0,92,29,56,0,231,207,28,7
15000US060014051001,10,0,0,0,0,0,0,0,0,0,38,0,81,66,50,62,0,0,0,0,0,0,0,0,7,0,35,19,100,115,24,9
15000US060014051002,0,0,0,0,0,0,0,0,0,10,64,0,80,33,49,21,0,0,0,0,0,0,0,0,19,0,0,51,113,65,17,7
15000US060014051003,0,0,0,0,0,0,0,0,0,9,0,0,115,50,114,37,0,0,0,19,0,10,0,0,0,0,8,25,159,158,32,20
15000US060014051004,0,0,0,0,0,0,0,0,0,0,12,10,89,55,8,24,0,0,0,0,0,0,0,11,0,0,10,8,109,87,5,8
15000US060014051005,0,0,0,0,0,0,0,0,18,44,29,10,178,44,84,34,0,0,0,0,0,0,0,0,0,7,53,28,119,64,68,40
15000US060014052001,0,0,0,0,0,0,0,0,49,21,74,42,171,94,34,0,0,0,39,0,0,0,0,0,27,36,84,9,164,168,30,18
15000US060014052002,37,16,14,41,2,2,2,0,31,41,27,40,77,26,39,13,17,0,15,13,0,0,2,11,47,70,42,0,57,112,20,0
15000US060014052003,15,16,0,0,0,0,0,0,137,23,25,17,171,41,39,23,14,16,0,0,0,0,0,0,41,34,38,34,214,0,99,41
15000US060014052004,26,37,0,0,0,0,0,0,70,0,130,34,268,51,12,22,0,0,0,0,0,0,0,0,79,51,39,8,226,219,25,27
15000US060014053011,10,0,0,8,0,0,0,9,97,24,42,42,394,81,8,40,28,25,14,0,0,0,0,64,69,62,150,38,341,210,28,17
15000US060014053012,8,0,7,0,0,0,0,11,29,50,13,9,41,84,14,9,0,0,7,0,0,0,0,0,56,0,51,30,89,67,17,8
15000US060014053021,26,0,11,28,0,0,25,0,40,24,64,115,159,36,22,0,48,0,22,32,20,8,0,14,55,25,64,7,226,51,17,0
15000US060014053022,10,14,14,0,0,23,6,36,63,89,159,33,134,8,0,0,50,12,13,0,0,14,23,44,53,7,54,22,92,71,0,0
15000US060014054011,10,21,45,40,8,0,11,7,195,19,108,54,110,20,8,0,32,15,57,50,14,10,0,31,88,21,145,55,105,38,0,19
15000US060014054012,9,0,23,0,28,0,0,40,117,9,108,24,36,17,0,0,42,35,20,19,23,0,5,11,43,9,15,67,59,0,0,11
15000US060014054013,10,48,20,7,9,0,0,34,59,0,110,11,30,56,0,0,19,47,34,28,20,18,28,12,104,36,29,13,80,22,0,0
15000US060014054021,30,0,40,59,6,7,0,19,147,8,123,9,93,11,0,0,70,42,39,18,0,38,0,50,68,21,150,34,97,35,0,0
15000US060014054022,8,3,0,0,0,0,10,6,250,11,53,67,21,0,0,17,38,0,3,3,10,0,10,25,70,21,81,75,90,44,0,3
15000US060014055001,0,0,0,7,0,2,0,0,98,0,144,4,49,51,0,0,48,21,37,0,20,6,0,37,63,21,47,18,54,37,0,0
15000US060014055002,54,16,0,0,0,0,0,6,15,15,61,25,36,25,0,10,75,7,0,23,0,0,0,0,33,12,73,13,57,72,0,6
15000US060014055003,7,7,54,6,0,0,11,48,112,7,6,0,97,8,0,0,13,11,0,5,19,0,0,11,72,8,123,42,118,8,0,8
15000US060014055004,47,0,0,0,0,34,0,8,59,16,62,73,125,42,0,12,0,0,9,0,0,0,0,0,53,11,23,23,194,81,14,39
15000US060014056001,0,0,0,45,0,0,0,0,59,0,94,37,53,0,10,0,0,0,0,0,0,0,32,5,86,2,21,19,104,65,0,0
15000US060014056002,11,0,0,14,10,14,7,0,47,20,94,31,166,26,0,1,10,0,4,1,0,12,8,0,16,26,14,6,94,140,28,0
15000US060014056003,22,0,0,0,0,0,15,0,26,6,78,25,184,87,4,0,39,6,0,0,13,0,0,0,6,34,54,22,95,48,19,0
15000US060014057001,0,0,0,19,10,0,4,23,130,7,86,17,58,22,0,29,13,0,0,17,0,0,32,0,164,62,90,125,23,27,0,3
15000US060014057002,38,30,32,55,0,3,39,136,87,9,51,44,36,4,14,0,43,55,31,0,3,0,0,3,31,0,24,84,3,0,18,0
15000US060014057003,13,0,8,0,0,0,0,26,200,2,121,23,48,8,0,12,24,34,0,0,0,0,18,6,68,0,55,46,51,39,19,0
15000US060014058001,38,0,11,37,0,0,13,33,126,13,64,23,49,8,9,10,76,12,0,0,20,0,0,7,83,16,38,32,52,17,0,12
15000US060014058002,24,0,0,17,46,0,0,0,136,0,47,45,75,18,22,0,52,0,30,1,0,36,0,9,73,21,22,59,69,23,0,0
15000US060014058003,44,0,0,31,12,15,10,21,126,19,69,10,0,22,0,0,46,0,11,15,7,0,9,0,71,22,28,20,44,28,0,0
15000US060014058004,25,0,0,7,0,21,0,0,40,0,49,23,50,0,0,0,14,0,39,13,7,14,0,0,46,0,32,26,48,9,0,0
15000US060014059011,39,24,10,7,42,5,13,78,93,0,57,18,11,0,0,0,47,0,106,0,8,25,0,73,66,18,48,21,0,0,0,0
15000US060014059012,104,3,28,14,7,46,0,13,86,21,149,21,5,14,0,17,146,0,26,0,22,0,15,23,147,48,133,58,33,12,0,0
15000US060014059013,69,12,13,0,4,0,29,45,17,20,19,50,0,5,0,0,58,10,13,0,0,25,9,83,29,63,25,9,46,0,0,0
15000US060014059021,87,13,25,51,0,0,32,42,103,24,45,3,35,22,4,0,96,11,39,69,19,0,18,25,115,18,30,23,43,11,0,0
15000US060014059022,67,35,20,14,36,17,27,31,117,8,47,12,71,10,0,0,75,10,47,32,8,16,17,5,93,42,27,13,100,17,5,1
15000US060014060001,32,0,0,0,0,0,0,0,9,26,138,10,67,58,0,0,21,0,0,0,0,0,0,0,34,0,35,0,207,12,0,0
15000US060014060002,0,16,53,0,9,0,0,0,19,0,25,23,0,0,0,0,53,0,29,42,0,0,0,0,0,0,35,0,12,0,0,0
15000US060014060003,44,81,0,33,26,10,0,33,98,31,89,53,92,64,0,21,86,55,91,36,32,58,0,15,99,20,129,114,91,106,10,0
15000US060014061001,42,0,0,2,0,0,1,67,43,8,58,0,30,78,0,0,64,30,35,40,0,0,0,0,11,34,87,12,37,51,0,0
15000US060014061002,0,20,33,67,0,0,27,0,35,15,32,0,43,0,0,0,0,0,5,19,0,0,2,12,23,19,50,8,0,20,0,0
15000US060014061003,12,0,40,0,0,0,16,45,48,0,19,37,130,101,39,0,20,0,15,0,0,0,0,36,86,24,44,24,176,61,23,20
15000US060014061004,8,11,35,0,6,10,18,9,100,36,155,20,88,8,0,0,12,39,28,26,0,0,16,37,32,35,14,47,34,30,0,0
15000US060014062011,70,21,0,0,3,7,0,7,90,27,19,0,59,0,0,0,54,0,14,27,7,0,0,14,77,0,87,8,46,40,0,0
15000US060014062012,8,0,0,0,18,27,0,39,70,0,0,0,46,8,0,0,29,0,0,0,17,6,0,8,63,0,107,0,16,21,0,46
15000US060014062013,58,20,73,18,0,0,0,0,53,24,89,28,64,7,0,0,55,8,0,58,15,0,0,12,57,53,108,0,84,0,0,0
15000US060014062014,12,31,0,5,24,0,20,16,98,3,29,22,31,22,0,0,12,0,8,7,21,0,29,18,73,0,85,18,13,7,0,0
15000US060014062021,17,21,34,12,64,0,0,0,98,0,63,0,31,10,0,0,31,36,32,0,18,0,15,0,55,23,16,20,36,14,0,0
15000US060014062022,54,32,11,13,20,0,5,8,238,38,133,13,66,8,0,0,44,7,37,5,16,10,11,8,110,21,35,8,94,0,0,0
15000US060014062023,90,28,40,25,31,52,38,25,109,35,108,15,135,12,0,0,81,30,9,28,26,38,0,19,102,16,44,17,197,25,0,0
15000US060014063001,33,0,37,0,0,0,14,18,59,64,107,24,50,7,0,0,31,30,0,35,0,0,0,13,76,14,72,33,69,37,7,0
15000US060014063002,27,9,0,35,0,8,12,31,134,0,48,27,51,7,0,0,34,0,15,21,0,3,9,11,71,34,60,13,65,17,0,0
15000US060014063003,27,0,41,27,0,5,6,7,30,20,10,21,70,35,0,6,42,0,22,12,12,6,0,8,3,0,42,75,59,22,0,0
15000US060014063004,60,0,14,11,0,0,0,8,92,15,61,0,23,11,0,0,35,33,19,33,0,0,0,8,15,8,36,12,36,15,0,0
15000US060014064001,0,0,0,0,0,0,0,17,56,10,67,17,39,33,41,0,10,0,0,0,6,7,8,8,0,0,65,39,77,16,3,0
15000US060014064002,8,5,9,14,8,23,21,4,99,25,135,11,72,20,7,16,40,4,0,9,12,8,3,8,153,32,245,7,105,43,13,0
15000US060014065001,15,4,28,0,38,16,0,51,180,10,62,7,88,49,28,0,26,28,3,34,9,9,23,30,81,52,141,90,65,70,23,0
