GEOID,UNWEIGHTED SAMPLE COUNT OF THE POPULATION: Total: Total population -- (Estimate),UNWEIGHTED SAMPLE COUNT OF THE POPULATION: Total: Total population -- (Margin of Error),UNWEIGHTED SAMPLE HOUSING UNITS: Total: Housing units -- (Estimate),UNWEIGHTED SAMPLE HOUSING UNITS: Total: Housing units -- (Margin of Error)
15000US060014042001,105.0,-1.0,40.0,-1.0
15000US060014042002,143.0,-1.0,54.0,-1.0
15000US060014042003,147.0,-1.0,55.0,-1.0
15000US060014043001,101.0,-1.0,41.0,-1.0
15000US060014043002,95.0,-1.0,36.0,-1.0
15000US060014043003,122.0,-1.0,57.0,-1.0
15000US060014044001,127.0,-1.0,60.0,-1.0
15000US060014044002,73.0,-1.0,32.0,-1.0
15000US060014044003,99.0,-1.0,42.0,-1.0
15000US060014045011,303.0,-1.0,119.0,-1.0
15000US060014045021,44.0,-1.0,20.0,-1.0
15000US060014045022,83.0,-1.0,34.0,-1.0
15000US060014045023,100.0,-1.0,43.0,-1.0
15000US060014045024,106.0,-1.0,46.0,-1.0
15000US060014046001,120.0,-1.0,47.0,-1.0
15000US060014046002,73.0,-1.0,30.0,-1.0
15000US060014046003,124.0,-1.0,55.0,-1.0
15000US060014046004,146.0,-1.0,60.0,-1.0
15000US060014047001,146.0,-1.0,59.0,-1.0
15000US060014047002,180.0,-1.0,73.0,-1.0
15000US060014048001,133.0,-1.0,56.0,-1.0
15000US060014048002,113.0,-1.0,63.0,-1.0
15000US060014049001,76.0,-1.0,35.0,-1.0
15000US060014049002,93.0,-1.0,51.0,-1.0
15000US060014049003,82.0,-1.0,41.0,-1.0
15000US060014049004,130.0,-1.0,55.0,-1.0
15000US060014050001,71.0,-1.0,34.0,-1.0
15000US060014050002,108.0,-1.0,54.0,-1.0
15000US060014050003,142.0,-1.0,67.0,-1.0
15000US060014051001,103.0,-1.0,41.0,-1.0
15000US060014051002,65.0,-1.0,23.0,-1.0
15000US060014051003,93.0,-1.0,36.0,-1.0
15000US060014051004,61.0,-1.0,27.0,-1.0
15000US060014051005,89.0,-1.0,36.0,-1.0
15000US060014052001,97.0,-1.0,48.0,-1.0
15000US060014052002,73.0,-1.0,30.0,-1.0
15000US060014052003,74.0,-1.0,30.0,-1.0
15000US060014052004,74.0,-1.0,41.0,-1.0
15000US060014053011,171.0,-1.0,97.0,-1.0
15000US060014053012,75.0,-1.0,45.0,-1.0
15000US060014053021,113.0,-1.0,75.0,-1.0
15000US060014053022,99.0,-1.0,54.0,-1.0
15000US060014054011,134.0,-1.0,64.0,-1.0
15000US060014054012,95.0,-1.0,41.0,-1.0
15000US060014054013,99.0,-1.0,43.0,-1.0
15000US060014054021,151.0,-1.0,59.0,-1.0
15000US060014054022,130.0,-1.0,44.0,-1.0
15000US060014055001,73.0,-1.0,24.0,-1.0
15000US060014055002,72.0,-1.0,35.0,-1.0
15000US060014055003,86.0,-1.0,35.0,-1.0
15000US060014055004,92.0,-1.0,50.0,-1.0
15000US060014056001,59.0,-1.0,27.0,-1.0
15000US060014056002,94.0,-1.0,41.0,-1.0
15000US060014056003,88.0,-1.0,58.0,-1.0
15000US060014057001,99.0,-1.0,38.0,-1.0
15000US060014057002,67.0,-1.0,28.0,-1.0
15000US060014057003,92.0,-1.0,41.0,-1.0
15000US060014058001,99.0,-1.0,32.0,-1.0
15000US060014058002,92.0,-1.0,32.0,-1.0
15000US060014058003,78.0,-1.0,32.0,-1.0
15000US060014058004,66.0,-1.0,18.0,-1.0
15000US060014059011,94.0,-1.0,31.0,-1.0
15000US060014059012,140.0,-1.0,39.0,-1.0
15000US060014059013,71.0,-1.0,18.0,-1.0
15000US060014059021,217.0,-1.0,67.0,-1.0
15000US060014059022,245.0,-1.0,76.0,-1.0
15000US060014060001,71.0,-1.0,31.0,-1.0
15000US060014060002,30.0,-1.0,14.0,-1.0
15000US060014060003,157.0,-1.0,69.0,-1.0
15000US060014061001,64.0,-1.0,23.0,-1.0
15000US060014061002,48.0,-1.0,14.0,-1.0
15000US060014061003,93.0,-1.0,44.0,-1.0
15000US060014061004,91.0,-1.0,33.0,-1.0
15000US060014062011,75.0,-1.0,27.0,-1.0
15000US060014062012,67.0,-1.0,20.0,-1.0
15000US060014062013,105.0,-1.0,45.0,-1.0
15000US060014062014,80.0,-1.0,25.0,-1.0
15000US060014062021,72.0,-1.0,28.0,-1.0
15000US060014062022,140.0,-1.0,37.0,-1.0
15000US060014062023,159.0,-1.0,48.0,-1.0
15000US060014063001,91.0,-1.0,37.0,-1.0
15000US060014063002,110.0,-1.0,29.0,-1.0
15000US060014063003,86.0,-1.0,23.0,-1.0
15000US060014063004,63.0,-1.0,20.0,-1.0
15000US060014064001,96.0,-1.0,34.0,-1.0
15000US060014064002,189.0,-1.0,67.0,-1.0
15000US060014065001,142.0,-1.0,55.0,-1.0
15000US060014065002,78.0,-1.0,22.0,-1.0
15000US060014065003,148.0,-1.0,48.0,-1.0
15000US060014065004,100.0,-1.0,34.0,-1.0
15000US060014066011,80.0,-1.0,28.0,-1.0
15000US060014066012,111.0,-1.0,44.0,-1.0
15000US060014066013,125.0,-1.0,51.0,-1.0
15000US060014066014,45.0,-1.0,23.0,-1.0
15000US060014066021,128.0,-1.0,57.0,-1.0
15000US060014066022,157.0,-1.0,51.0,-1.0
15000US060014067001,81.0,-1.0,28.0,-1.0
15000US060014067002,32.0,-1.0,15.0,-1.0
15000US060014067003,82.0,-1.0,45.0,-1.0
15000US060014067004,46.0,-1.0,20.0,-1.0
15000US060014067005,34.0,-1.0,16.0,-1.0
15000US060014068001,69.0,-1.0,27.0,-1.0
15000US060014068002,66.0,-1.0,27.0,-1.0
15000US060014068003,95.0,-1.0,37.0,-1.0
15000US060014068004,75.0,-1.0,39.0,-1.0
15000US060014069001,50.0,-1.0,24.0,-1.0
15000US060014069002,129.0,-1.0,51.0,-1.0
15000US060014069003,152.0,-1.0,58.0,-1.0
15000US060014070001,51.0,-1.0,19.0,-1.0
15000US060014070002,69.0,-1.0,21.0,-1.0
15000US060014070003,41.0,-1.0,16.0,-1.0
15000US060014070004,72.0,-1.0,28.0,-1.0
15000US060014070005,47.0,-1.0,13.0,-1.0
15000US060014071011,122.0,-1.0,36.0,-1.0
15000US060014071012,86.0,-1.0,37.0,-1.0
15000US060014071021,125.0,-1.0,46.0,-1.0
15000US060014071022,85.0,-1.0,25.0,-1.0
15000US060014071023,69.0,-1.0,19.0,-1.0
15000US060014071024,57.0,-1.0,18.0,-1.0
15000US060014072001,120.0,-1.0,35.0,-1.0
15000US060014072002,99.0,-1.0,34.0,-1.0
15000US060014072003,104.0,-1.0,39.0,-1.0
15000US060014072004,154.0,-1.0,45.0,-1.0
15000US060014073001,154.0,-1.0,47.0,-1.0
15000US060014073002,114.0,-1.0,47.0,-1.0
15000US060014074001,164.0,-1.0,44.0,-1.0
15000US060014074002,90.0,-1.0,25.0,-1.0
15000US060014074003,77.0,-1.0,24.0,-1.0
15000US060014075001,64.0,-1.0,17.0,-1.0
15000US060014075002,126.0,-1.0,43.0,-1.0
15000US060014075003,41.0,-1.0,21.0,-1.0
15000US060014076001,57.0,-1.0,26.0,-1.0
15000US060014076002,52.0,-1.0,21.0,-1.0
15000US060014076003,37.0,-1.0,16.0,-1.0
15000US060014076004,66.0,-1.0,22.0,-1.0
15000US060014076005,39.0,-1.0,16.0,-1.0
15000US060014077001,135.0,-1.0,52.0,-1.0
15000US060014077002,95.0,-1.0,40.0,-1.0
15000US060014077003,80.0,-1.0,37.0,-1.0
15000US060014077004,90.0,-1.0,36.0,-1.0
15000US060014078001,,,,
15000US060014078002,131.0,-1.0,64.0,-1.0
15000US060014078003,99.0,-1.0,47.0,-1.0
15000US060014079001,68.0,-1.0,27.0,-1.0
15000US060014079002,96.0,-1.0,36.0,-1.0
15000US060014079003,96.0,-1.0,40.0,-1.0
15000US060014080001,112.0,-1.0,50.0,-1.0
15000US060014080002,317.0,-1.0,103.0,-1.0
15000US060014081001,86.0,-1.0,39.0,-1.0
15000US060014081002,171.0,-1.0,77.0,-1.0
15000US060014081003,68.0,-1.0,26.0,-1.0
15000US060014081004,44.0,-1.0,23.0,-1.0
15000US060014082001,134.0,-1.0,57.0,-1.0
15000US060014082002,131.0,-1.0,60.0,-1.0
15000US060014082003,66.0,-1.0,31.0,-1.0
15000US060014083001,50.0,-1.0,22.0,-1.0
15000US060014083002,96.0,-1.0,41.0,-1.0
15000US060014083003,72.0,-1.0,32.0,-1.0
15000US060014083004,85.0,-1.0,32.0,-1.0
15000US060014083005,55.0,-1.0,21.0,-1.0
15000US060014084001,88.0,-1.0,33.0,-1.0
15000US060014084002,46.0,-1.0,20.0,-1.0
15000US060014084003,66.0,-1.0,32.0,-1.0
15000US060014085001,69.0,-1.0,26.0,-1.0
15000US060014085002,90.0,-1.0,30.0,-1.0
15000US060014085003,78.0,-1.0,21.0,-1.0
15000US060014085004,58.0,-1.0,19.0,-1.0
15000US060014085005,116.0,-1.0,28.0,-1.0
15000US060014086001,106.0,-1.0,38.0,-1.0
15000US060014086002,108.0,-1.0,39.0,-1.0
15000US060014086003,99.0,-1.0,34.0,-1.0
15000US060014086004,49.0,-1.0,17.0,-1.0
15000US060014087001,47.0,-1.0,21.0,-1.0
15000US060014087002,61.0,-1.0,22.0,-1.0
15000US060014087003,61.0,-1.0,17.0,-1.0
15000US060014087004,38.0,-1.0,11.0,-1.0
15000US060014087005,59.0,-1.0,21.0,-1.0
15000US060014087006,51.0,-1.0,15.0,-1.0
15000US060014088001,93.0,-1.0,26.0,-1.0
15000US060014088002,88.0,-1.0,28.0,-1.0
15000US060014088003,81.0,-1.0,34.0,-1.0
15000US060014088004,147.0,-1.0,56.0,-1.0
15000US060014089001,183.0,-1.0,77.0,-1.0
15000US060014089002,200.0,-1.0,67.0,-1.0
15000US060014090001,228.0,-1.0,73.0,-1.0
15000US060014090002,0.0,-1.0,0.0,-1.0
15000US060014090003,225.0,-1.0,62.0,-1.0
15000US060014090004,0.0,-1.0,0.0,-1.0
15000US060014091001,121.0,-1.0,41.0,-1.0
15000US060014091002,130.0,-1.0,40.0,-1.0
15000US060014092001,241.0,-1.0,80.0,-1.0
15000US060014092002,175.0,-1.0,48.0,-1.0
15000US060014093001,93.0,-1.0,37.0,-1.0
15000US060014093002,87.0,-1.0,31.0,-1.0
15000US060014093003,80.0,-1.0,24.0,-1.0
15000US060014093004,77.0,-1.0,19.0,-1.0
15000US060014094001,62.0,-1.0,20.0,-1.0
15000US060014094002,191.0,-1.0,51.0,-1.0
15000US060014094003,121.0,-1.0,35.0,-1.0
15000US060014095001,227.0,-1.0,60.0,-1.0
15000US060014095002,155.0,-1.0,49.0,-1.0
15000US060014095003,135.0,-1.0,36.0,-1.0
15000US060014096001,75.0,-1.0,25.0,-1.0
15000US060014096002,63.0,-1.0,23.0,-1.0
15000US060014096003,57.0,-1.0,20.0,-1.0
15000US060014096004,31.0,-1.0,14.0,-1.0
15000US060014096005,94.0,-1.0,27.0,-1.0
15000US060014097001,74.0,-1.0,28.0,-1.0
15000US060014097002,149.0,-1.0,50.0,-1.0
15000US060014097003,91.0,-1.0,29.0,-1.0
15000US060014097004,78.0,-1.0,26.0,-1.0
15000US060014098001,66.0,-1.0,30.0,-1.0
15000US060014098002,94.0,-1.0,40.0,-1.0
15000US060014098003,48.0,-1.0,21.0,-1.0
15000US060014099001,49.0,-1.0,20.0,-1.0
15000US060014099002,73.0,-1.0,24.0,-1.0
15000US060014099003,96.0,-1.0,49.0,-1.0
15000US060014099004,71.0,-1.0,31.0,-1.0
15000US060014100001,80.0,-1.0,36.0,-1.0
15000US060014100002,187.0,-1.0,70.0,-1.0
15000US060014100003,,,,
15000US060014101001,143.0,-1.0,67.0,-1.0
15000US060014101002,184.0,-1.0,74.0,-1.0
15000US060014102001,106.0,-1.0,35.0,-1.0
15000US060014102002,51.0,-1.0,22.0,-1.0
15000US060014102003,54.0,-1.0,24.0,-1.0
15000US060014103001,83.0,-1.0,28.0,-1.0
15000US060014103002,157.0,-1.0,46.0,-1.0
15000US060014103003,167.0,-1.0,51.0,-1.0
15000US060014104001,96.0,-1.0,28.0,-1.0
15000US060014104002,105.0,-1.0,31.0,-1.0
15000US060014104003,151.0,-1.0,51.0,-1.0
15000US060014105001,238.0,-1.0,109.0,-1.0
15000US060014201001,186.0,-1.0,71.0,-1.0
15000US060014201002,103.0,-1.0,41.0,-1.0
15000US060014201003,107.0,-1.0,42.0,-1.0
15000US060014202001,127.0,-1.0,45.0,-1.0
15000US060014202002,75.0,-1.0,28.0,-1.0
15000US060014202003,89.0,-1.0,36.0,-1.0
15000US060014203001,74.0,-1.0,36.0,-1.0
15000US060014203002,140.0,-1.0,58.0,-1.0
15000US060014203003,47.0,-1.0,19.0,-1.0
15000US060014204001,287.0,-1.0,110.0,-1.0
15000US060014205001,137.0,-1.0,57.0,-1.0
15000US060014205002,231.0,-1.0,97.0,-1.0
15000US060014206001,119.0,-1.0,42.0,-1.0
15000US060014206002,76.0,-1.0,35.0,-1.0
15000US060014206003,98.0,-1.0,42.0,-1.0
15000US060014211001,131.0,-1.0,58.0,-1.0
15000US060014211002,241.0,-1.0,96.0,-1.0
15000US060014212001,68.0,-1.0,34.0,-1.0
15000US060014212002,133.0,-1.0,58.0,-1.0
15000US060014212003,83.0,-1.0,34.0,-1.0
15000US060014212004,72.0,-1.0,39.0,-1.0
15000US060014213001,115.0,-1.0,50.0,-1.0
15000US060014213002,110.0,-1.0,52.0,-1.0
15000US060014213003,93.0,-1.0,45.0,-1.0
15000US060014213004,90.0,-1.0,35.0,-1.0
15000US060014214001,169.0,-1.0,73.0,-1.0
15000US060014214002,110.0,-1.0,49.0,-1.0
15000US060014215001,139.0,-1.0,61.0,-1.0
15000US060014215002,126.0,-1.0,56.0,-1.0
15000US060014215003,131.0,-1.0,55.0,-1.0
15000US060014216001,91.0,-1.0,47.0,-1.0
15000US060014216002,110.0,-1.0,56.0,-1.0
15000US060014216003,75.0,-1.0,37.0,-1.0
15000US060014216004,82.0,-1.0,37.0,-1.0
15000US060014217001,143.0,-1.0,63.0,-1.0
15000US060014217002,80.0,-1.0,39.0,-1.0
15000US060014217003,90.0,-1.0,46.0,-1.0
15000US060014218001,184.0,-1.0,81.0,-1.0
15000US060014218002,173.0,-1.0,74.0,-1.0
15000US060014219001,85.0,-1.0,47.0,-1.0
15000US060014219002,120.0,-1.0,53.0,-1.0
15000US060014219003,106.0,-1.0,43.0,-1.0
15000US060014219004,95.0,-1.0,40.0,-1.0
15000US060014220001,176.0,-1.0,95.0,-1.0
15000US060014220002,104.0,-1.0,40.0,-1.0
15000US060014221001,64.0,-1.0,31.0,-1.0
15000US060014221002,143.0,-1.0,72.0,-1.0
15000US060014222001,121.0,-1.0,52.0,-1.0
15000US060014222002,92.0,-1.0,43.0,-1.0
15000US060014222003,95.0,-1.0,47.0,-1.0
15000US060014223001,80.0,-1.0,40.0,-1.0
15000US060014223002,145.0,-1.0,70.0,-1.0
15000US060014223003,138.0,-1.0,72.0,-1.0
15000US060014224001,89.0,-1.0,54.0,-1.0
15000US060014224002,41.0,-1.0,23.0,-1.0
15000US060014224003,60.0,-1.0,35.0,-1.0
15000US060014225001,139.0,-1.0,66.0,-1.0
15000US060014225002,136.0,-1.0,27.0,-1.0
15000US060014225003,274.0,-1.0,83.0,-1.0
15000US060014226001,175.0,-1.0,3.0,-1.0
15000US060014227001,86.0,-1.0,26.0,-1.0
15000US060014227002,185.0,-1.0,15.0,-1.0
15000US060014227003,413.0,-1.0,55.0,-1.0
15000US060014228001,622.0,-1.0,24.0,-1.0
15000US060014228002,236.0,-1.0,22.0,-1.0
15000US060014228003,175.0,-1.0,84.0,-1.0
15000US060014229001,119.0,-1.0,46.0,-1.0
15000US060014229002,133.0,-1.0,55.0,-1.0
15000US060014230001,102.0,-1.0,41.0,-1.0
15000US060014230002,82.0,-1.0,41.0,-1.0
15000US060014230003,69.0,-1.0,33.0,-1.0
15000US060014231001,154.0,-1.0,79.0,-1.0
15000US060014231002,60.0,-1.0,27.0,-1.0
15000US060014231003,96.0,-1.0,38.0,-1.0
15000US060014231004,69.0,-1.0,36.0,-1.0
15000US060014232001,107.0,-1.0,46.0,-1.0
15000US060014232002,120.0,-1.0,52.0,-1.0
15000US060014233001,109.0,-1.0,55.0,-1.0
15000US060014233002,114.0,-1.0,55.0,-1.0
15000US060014233003,80.0,-1.0,38.0,-1.0
15000US060014234001,60.0,-1.0,26.0,-1.0
15000US060014234002,59.0,-1.0,27.0,-1.0
15000US060014234003,79.0,-1.0,38.0,-1.0
15000US060014234004,89.0,-1.0,32.0,-1.0
15000US060014235001,121.0,-1.0,63.0,-1.0
15000US060014235002,82.0,-1.0,38.0,-1.0
15000US060014235003,120.0,-1.0,50.0,-1.0
15000US060014236011,143.0,-1.0,67.0,-1.0
15000US060014236012,123.0,-1.0,54.0,-1.0
15000US060014236021,82.0,-1.0,47.0,-1.0
15000US060014236022,82.0,-1.0,34.0,-1.0
15000US060014236023,87.0,-1.0,37.0,-1.0
15000US060014237001,166.0,-1.0,40.0,-1.0
15000US060014237002,103.0,-1.0,54.0,-1.0
15000US060014237003,109.0,-1.0,33.0,-1.0
15000US060014238001,65.0,-1.0,28.0,-1.0
15000US060014238002,131.0,-1.0,46.0,-1.0
15000US060014238003,108.0,-1.0,55.0,-1.0
15000US060014239011,129.0,-1.0,70.0,-1.0
15000US060014239012,141.0,-1.0,64.0,-1.0
15000US060014239021,119.0,-1.0,60.0,-1.0
15000US060014239022,153.0,-1.0,66.0,-1.0
15000US060014240011,90.0,-1.0,37.0,-1.0
15000US060014240012,98.0,-1.0,28.0,-1.0
15000US060014240013,89.0,-1.0,45.0,-1.0
15000US060014240014,98.0,-1.0,39.0,-1.0
15000US060014240021,141.0,-1.0,67.0,-1.0
15000US060014240022,141.0,-1.0,60.0,-1.0
15000US060014251011,28.0,-1.0,27.0,-1.0
15000US060014251012,130.0,-1.0,92.0,-1.0
15000US060014251021,85.0,-1.0,57.0,-1.0
15000US060014251022,117.0,-1.0,70.0,-1.0
15000US060014251023,51.0,-1.0,30.0,-1.0
15000US060014251031,78.0,-1.0,45.0,-1.0
15000US060014251032,82.0,-1.0,48.0,-1.0
15000US060014251033,104.0,-1.0,42.0,-1.0
15000US060014251041,137.0,-1.0,75.0,-1.0
15000US060014251042,130.0,-1.0,88.0,-1.0
15000US060014261001,74.0,-1.0,25.0,-1.0
15000US060014261002,29.0,-1.0,12.0,-1.0
15000US060014261003,61.0,-1.0,22.0,-1.0
15000US060014261004,56.0,-1.0,24.0,-1.0
15000US060014261005,73.0,-1.0,26.0,-1.0
15000US060014261006,47.0,-1.0,16.0,-1.0
15000US060014262001,152.0,-1.0,54.0,-1.0
15000US060014262002,221.0,-1.0,75.0,-1.0
15000US060014262003,116.0,-1.0,47.0,-1.0
15000US060014271001,111.0,-1.0,36.0,-1.0
15000US060014271002,82.0,-1.0,35.0,-1.0
15000US060014271003,185.0,-1.0,69.0,-1.0
15000US060014272001,67.0,-1.0,37.0,-1.0
15000US060014272002,129.0,-1.0,50.0,-1.0
15000US060014272003,60.0,-1.0,29.0,-1.0
15000US060014272004,50.0,-1.0,22.0,-1.0
15000US060014272005,9.0,-1.0,0.0,-1.0
15000US060014273001,117.0,-1.0,47.0,-1.0
15000US060014273002,116.0,-1.0,50.0,-1.0
15000US060014273003,113.0,-1.0,40.0,-1.0
15000US060014273004,84.0,-1.0,25.0,-1.0
15000US060014273005,54.0,-1.0,26.0,-1.0
15000US060014276001,185.0,-1.0,64.0,-1.0
15000US060014276002,168.0,-1.0,64.0,-1.0
15000US060014276003,81.0,-1.0,27.0,-1.0
15000US060014277001,46.0,-1.0,19.0,-1.0
15000US060014277002,148.0,-1.0,65.0,-1.0
15000US060014277003,61.0,-1.0,37.0,-1.0
15000US060014277004,51.0,-1.0,22.0,-1.0
15000US060014278001,55.0,-1.0,20.0,-1.0
15000US060014278002,57.0,-1.0,24.0,-1.0
15000US060014278003,47.0,-1.0,20.0,-1.0
15000US060014278004,54.0,-1.0,26.0,-1.0
15000US060014278005,60.0,-1.0,29.0,-1.0
15000US060014279001,52.0,-1.0,25.0,-1.0
15000US060014279002,72.0,-1.0,27.0,-1.0
15000US060014279003,33.0,-1.0,20.0,-1.0
15000US060014279004,38.0,-1.0,18.0,-1.0
15000US060014279005,58.0,-1.0,26.0,-1.0
15000US060014280001,40.0,-1.0,20.0,-1.0
15000US060014280002,185.0,-1.0,94.0,-1.0
15000US060014281001,148.0,-1.0,56.0,-1.0
15000US060014281002,109.0,-1.0,42.0,-1.0
15000US060014281003,109.0,-1.0,48.0,-1.0
15000US060014281004,85.0,-1.0,44.0,-1.0
15000US060014282001,74.0,-1.0,25.0,-1.0
15000US060014282002,94.0,-1.0,47.0,-1.0
15000US060014282003,53.0,-1.0,26.0,-1.0
15000US060014282004,64.0,-1.0,29.0,-1.0
15000US060014282005,64.0,-1.0,22.0,-1.0
15000US060014283011,130.0,-1.0,50.0,-1.0
15000US060014283012,54.0,-1.0,21.0,-1.0
15000US060014283013,48.0,-1.0,16.0,-1.0
15000US060014283014,148.0,-1.0,55.0,-1.0
15000US060014283021,138.0,-1.0,47.0,-1.0
15000US060014283022,145.0,-1.0,67.0,-1.0
15000US060014283023,136.0,-1.0,51.0,-1.0
15000US060014284001,224.0,-1.0,83.0,-1.0
15000US060014284002,81.0,-1.0,40.0,-1.0
15000US060014284003,161.0,-1.0,66.0,-1.0
15000US060014285001,221.0,-1.0,103.0,-1.0
15000US060014285002,82.0,-1.0,31.0,-1.0
15000US060014286001,142.0,-1.0,70.0,-1.0
15000US060014286002,40.0,-1.0,27.0,-1.0
15000US060014286003,114.0,-1.0,47.0,-1.0
15000US060014287001,305.0,-1.0,114.0,-1.0
15000US060014287002,108.0,-1.0,28.0,-1.0
15000US060014301011,82.0,-1.0,30.0,-1.0
15000US060014301012,116.0,-1.0,44.0,-1.0
15000US060014301013,189.0,-1.0,57.0,-1.0
15000US060014301021,368.0,-1.0,149.0,-1.0
15000US060014302001,122.0,-1.0,43.0,-1.0
15000US060014302002,53.0,-1.0,22.0,-1.0
15000US060014302003,53.0,-1.0,18.0,-1.0
15000US060014302004,79.0,-1.0,31.0,-1.0
